|                      Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                       8 |   9 |                      10 |                      11 |               12 |                     13 |  14 |                 15 |                16 |                17 |  18 |  19 |                     20 |                      21 |  22 |                    23 |                      24 |                   25 |  26 |  27 |                     28 |                     29 |  30 |
|           Source.spectral.index |   0.0016844402446330115 | -2.1074583074938497e-15 | 0.0 | -0.0005061723418539162 | 0.0 | -1.3483513244460193e-06 | -1.2097068139157577e-06 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       Source.spectral.amplitude | -2.1074583074938497e-15 |    8.57726863077337e-27 | 0.0 |  9.993054334264403e-16 | 0.0 | -5.2558691083172394e-18 |  -8.965609825504486e-18 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       Source.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         Source.spectral.lambda_ |  -0.0005061723418539162 |   9.993054334264403e-16 | 0.0 | 0.00022161161022998954 | 0.0 |   4.905389407708693e-07 |   5.528530148235239e-07 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           Source.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Source.spatial.lon_0 | -1.3483513244460193e-06 | -5.2558691083172394e-18 | 0.0 |  4.905389407708693e-07 | 0.0 |   1.534332095011735e-06 |   -5.32011828495722e-09 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Source.spatial.lat_0 | -1.2097068139157577e-06 |  -8.965609825504486e-18 | 0.0 |  5.528530148235239e-07 | 0.0 |   -5.32011828495722e-09 |  1.4992188080239577e-06 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              g09.spectral.index |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |   0.004633300703567438 |  1.9760776610015066e-17 | 0.0 |  -9.184045096807235e-07 |  -7.584841251850773e-07 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|          g09.spectral.amplitude |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 1.9760776610015066e-17 |   1.636996805795424e-27 | 0.0 |   4.163446409596642e-18 | -2.1065352443526218e-19 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|          g09.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|               g09.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | -9.184045096807235e-07 |   4.163446409596642e-18 | 0.0 |  1.8072106411003313e-05 | -1.6566652546325777e-07 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|               g09.spatial.lat_0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | -7.584841251850773e-07 | -2.1065352443526218e-19 | 0.0 | -1.6566652546325777e-07 |  1.7924370595260808e-05 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|             1745.spectral.index |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 17950.9024130067 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         1745.spectral.amplitude |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 | 1.0874066130636688e-24 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         1745.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              1745.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 | 30984020.669729285 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              1745.spatial.lat_0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 | 49341.43114704195 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              1745.spatial.sigma |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 | 5.752721602420856 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                  1745.spatial.e |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                1745.spatial.phi |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|             1746.spectral.index |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |     0.1521982321597511 |  -3.785087274017199e-15 | 0.0 | 0.0002952694821692132 |  -5.404918177674831e-05 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         1746.spectral.amplitude |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 | -3.785087274017199e-15 |   4.696151402984494e-28 | 0.0 | 2.179736624247714e-17 | -1.3355321545826429e-17 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         1746.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              1746.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |  0.0002952694821692132 |   2.179736624247714e-17 | 0.0 | 0.0008532385398645636 |   2.802056869783588e-06 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              1746.spatial.lat_0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 | -5.404918177674831e-05 | -1.3355321545826429e-17 | 0.0 | 2.802056869783588e-06 |   0.0006623000951048738 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              diff.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 | 0.007217384990700498 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              diff.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         diff.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |              0.0 |                    0.0 | 0.0 |                0.0 |               0.0 |               0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                   0.0 |                     0.0 |                  0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
