|                      Parameters |                      0 |                      1 |   2 |                      3 |   4 |   5 |   6 |                      7 |                      8 |   9 |  10 |  11 |                     12 |                     13 |  14 |  15 |  16 |                      17 |                      18 |  19 |
|           Source.spectral.index | 0.00019114777396166826 | 4.2641498359338604e-18 | 0.0 | -9.916820256799403e-06 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|       Source.spectral.amplitude | 4.2641498359338604e-18 |  6.055105219455117e-28 | 0.0 |  1.514937162201464e-17 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|       Source.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|         Source.spectral.lambda_ | -9.916820256799403e-06 |  1.514937162201464e-17 | 0.0 |  1.718824458943388e-05 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           Source.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|            Source.spatial.lon_0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|            Source.spatial.lat_0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|              g09.spectral.index |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |  0.0012122542520137196 | 1.0920762057384708e-17 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          g09.spectral.amplitude |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 1.0920762057384708e-17 | 3.0771249634399834e-28 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          g09.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
