|                      Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                       8 |   9 |                      10 |                      11 |                    12 |                    13 |  14 |                      15 |                      16 |  17 |
|           Source.spectral.index |    0.001552163727228558 | -1.3159424284602904e-15 | 0.0 | -0.0003949618910216814 | 0.0 |  -4.778242627393964e-07 |   7.848289345668349e-07 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|       Source.spectral.amplitude | -1.3159424284602904e-15 |   6.828974960656275e-27 | 0.0 |  7.217636057708401e-16 | 0.0 | -1.1147679902539784e-17 | -1.5696600529789382e-17 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|       Source.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|         Source.spectral.lambda_ |  -0.0003949618910216814 |   7.217636057708401e-16 | 0.0 | 0.00017815525885904863 | 0.0 |   3.719165671775479e-08 |  -6.935485111360625e-08 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           Source.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|            Source.spatial.lon_0 |  -4.778242627393964e-07 | -1.1147679902539784e-17 | 0.0 |  3.719165671775479e-08 | 0.0 |  1.8205155276661788e-06 |  4.2130708454242436e-08 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|            Source.spatial.lat_0 |   7.848289345668349e-07 | -1.5696600529789382e-17 | 0.0 | -6.935485111360625e-08 | 0.0 |  4.2130708454242436e-08 |  1.7690799282541602e-06 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|              g09.spectral.index |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |  0.0037108943608690414 |  1.9320495446317474e-16 | 0.0 |  -2.382411954697312e-06 |  -7.518003530758433e-06 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          g09.spectral.amplitude |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 1.9320495446317474e-16 |  1.6756513575075952e-27 | 0.0 |   1.664752488461523e-17 | -2.4247307037319127e-18 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          g09.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
