|                          Parameters |                       0 |                       1 |   2 |                       3 |   4 |                      5 |                       6 |                       7 |                      8 |   9 |                      10 |                      11 |                  12 |                    13 |  14 |                     15 |                     16 |  17 |                    18 |                     19 |  20 |  21 |  22 |
|               Source.spectral.index |   0.0016804201447687037 | -1.9303091339246865e-15 | 0.0 | -0.00037116156384724885 | 0.0 | -4.937229263903553e-07 |   7.163226501773798e-07 |                     0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |
|           Source.spectral.amplitude | -1.9303091339246865e-15 |   2.561978031335698e-25 | 0.0 |   9.408598880190173e-16 | 0.0 | -9.477130746879447e-18 | -1.2627621720725375e-17 |                     0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |
|           Source.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |
|             Source.spectral.lambda_ | -0.00037116156384724885 |   9.408598880190173e-16 | 0.0 |  0.00017090879434291875 | 0.0 |  5.295300594143362e-08 |  -3.622434243656666e-08 |                     0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |
|               Source.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |
|                Source.spatial.lon_0 |  -4.937229263903553e-07 |  -9.477130746879447e-18 | 0.0 |   5.295300594143362e-08 | 0.0 | 1.8065441564201744e-06 |   4.105780591168038e-08 |                     0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |
|                Source.spatial.lat_0 |   7.163226501773798e-07 | -1.2627621720725375e-17 | 0.0 |  -3.622434243656666e-08 | 0.0 |  4.105780591168038e-08 |  1.7547271529946673e-06 |                     0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |
|                  g09.spectral.index |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |    0.003878867611546628 |   1.75600758932795e-16 | 0.0 | -2.5806508830375574e-06 | -7.3893883382621675e-06 |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |
|              g09.spectral.amplitude |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |    1.75600758932795e-16 |  1.547463281797403e-26 | 0.0 |    2.37360072402192e-17 |  1.5101101872757433e-18 |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |
|              g09.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                 0.0 |                   0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |
